Objects
200
,,Global Angle firefly_blue:firefly_blue,,,,,,Global Angle testBalls:testBalls,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
273,0,,,,,,,-0.0621589,0.00517025,-3.02119,-872.605,-684.588,50.7262
274,0,,,,,,,-0.0579127,0.00175627,-3.02033,-872.616,-684.62,50.7091
275,0,,,,,,,-0.0611871,0.00506183,-3.02076,-872.581,-684.628,50.6897
276,0,,,,,,,-0.0626854,0.00509423,-3.0201,-872.607,-684.598,50.6964
277,0,,,,,,,-0.0608722,0.00388107,-3.0181,-872.544,-684.77,50.729
278,0,,,,,,,-0.0372846,-0.0215879,-3.0199,-872.707,-684.542,50.6259
279,0,,,,,,,-0.037879,-0.021743,-3.01957,-872.754,-684.582,50.7296
280,0,,,,,,,-0.0395421,-0.0215017,-3.0195,-872.748,-684.607,50.7464
281,0,,,,,,,-0.0415403,-0.0174634,-3.01958,-872.729,-684.537,50.5827
282,0,,,,,,,-0.0442542,-0.0151553,-3.0163,-872.704,-684.515,50.3287
283,0,,,,,,,-0.0467768,-0.0115537,-3.01672,-872.659,-684.449,50.2675
284,0,,,,,,,-0.0441461,-0.0142359,-3.0186,-872.652,-684.437,50.3759
285,0,,,,,,,-0.0409594,-0.0155207,-3.01911,-872.669,-684.512,50.5364
286,0,,,,,,,-0.0383268,-0.0206849,-3.01978,-872.651,-684.659,50.7777
287,0,,,,,,,-0.0376471,-0.0206333,-3.01998,-872.671,-684.605,50.7745
288,0,,,,,,,-0.0389444,-0.0195819,-3.01663,-872.67,-684.646,50.581
289,0,,,,,,,-0.0436451,-0.0162544,-3.01867,-872.766,-684.339,50.5219
290,0,,,,,,,-0.0416559,-0.0178218,-3.01936,-872.743,-684.35,50.5435
291,0,,,,,,,-0.0383436,-0.0199743,-3.01942,-872.712,-684.529,50.6561
292,0,,,,,,,-0.0402021,-0.0201277,-3.01965,-872.713,-684.669,50.7894
293,0,,,,,,,-0.0391649,-0.0197273,-3.01933,-872.706,-684.634,50.5895
294,0,,,,,,,-0.0466499,-0.0131836,-3.01893,-872.713,-684.44,50.354
295,0,,,,,,,-0.0486627,-0.010942,-3.01761,-872.723,-684.245,50.1393
296,0,,,,,,,-0.0479495,-0.0119281,-3.01814,-872.702,-684.224,50.177
297,0,,,,,,,-0.042224,-0.016156,-3.01946,-872.708,-684.43,50.4891
298,0,,,,,,,-0.0371425,-0.0202733,-3.02055,-872.703,-684.62,50.8053
299,0,,,,,,,-0.0367621,-0.0189713,-3.02108,-872.708,-684.717,50.9325
300,0,,,,,,,-0.040198,-0.0188606,-3.02036,-872.736,-684.577,50.796
301,0,,,,,,,-0.0506735,-0.00814812,-3.01987,-872.724,-684.403,50.5633
302,0,,,,,,,-0.0574407,-0.00251086,-3.01933,-872.724,-684.317,50.4035
